code,name,city,cityname
TNK,TANJUNG KARANG,TANJUNG KARANG,KOTA BANDAR LAMPUNG
LAR,LABUAN RATU,LABUAN RATU,KOTA BANDAR LAMPUNG
RJS,REJOSARI,REJOSARI,KABUPATEN LAMPUNG SELATAN
TGI,TEGINENENG,TEGINENENG,KABUPATEN LAMPUNG UTARA
BKI,BEKRI,BEKRI,KABUPATEN LAMPUNG TENGAH
HJP,HAJI PEMANGGILAN,HAJI PEMANGGILAN,KABUPATEN LAMPUNG TENGAH
SLS,SULUSUBAN,SULUSUBAN,KABUPATEN LAMPUNG TENGAH
KB,KOTABUMI,KOTABUMI,KOTABUMI
CEP,CEMPAKA,CEMPAKA,KABUPATEN LAMPUNG UTARA
KTP,KETAPANG,KETAPANG,KABUPATEN LAMPUNG UTARA
NRR,NEGARA RATU,NEGARA RATU,KABUPATEN LAMPUNG UTARA
TLY,TULUNG BUYUT,TULUNG BUYUT,KABUPATEN LAMPUNG UTARA
NGN,NEGERIAGUNG,NEGERIAGUNG,KABUPATEN WAY KANAN
BBU,BLAMBANGAN UMPU,BLAMBANGAN UMPU,KABUPATEN WAY KANAN
GHM,GIHAM,GIHAM,KABUPATEN WAY KANAN
WAY,WAYTUBA,WAYTUBA,KABUPATEN WAY KANAN
MP,MARTAPURA,MARTAPURA,MARTAPURA
PNW,PENINJAWAN,PENINJAWAN,PENINJAWAN
TI,TEBING TINGGI,TEBING TINGGI,KOTA TEBING TINGGI
LT,LAHAT,LAHAT,KABUPATEN LAHAT
SCT,SUKACINTA,SUKACINTA,KABUPATEN LAHAT
ME,MUARA ENIM,MUARA ENIM,KABUPATEN MUARA ENIM
PBM,PRABUMULIH,PRABUMULIH,KOTA PRABUMULIH
GB,GOMBONG,GOMBONG,KABUPATEN KEBUMEN
KPT,KERTAPATI,KERTAPATI,KOTA PALEMBANG
LLG,LUBUK LINGGAU,LUBUK LINGGAU,KOTA LUBUKLINGGAU
BTA,BATURAJA,BATURAJA,BATURAJA
MRI,MANGGARAI,MANGGARAI,KOTA JAKARTA PUSAT
GMR,GAMBIR,GAMBIR,JAKARTA
JUA,JUANDA,JUANDA,KOTA JAKARTA PUSAT
JAKK,JAKARTA KOTA,JAKARTA KOTA,JAKARTA
TGS,TIGARAKSA,TIGARAKSA,KABUPATEN TANGERANG
CLG,CILEGON,CILEGON,KOTA CILEGON
KNN,KRADENAN,KRADENAN,KABUPATEN GROBOGAN
JBN,JAMBON,JAMBON,KABUPATEN GROBOGAN
LW,LAWANG,LAWANG,KOTA MALANG
ML,MALANG,MALANG,KOTA MALANG
MLK,MALANG KOTA LAMA,MALANG KOTA LAMA,KOTA MALANG
KPN,KEPANJEN,KEPANJEN,KOTA MALANG
SBP,SUMBERPUCUNG,SUMBERPUCUNG,KOTA MALANG
KSB,KESAMBEN,KESAMBEN,KOTA BLITAR
WG,WLINGI,WLINGI,KOTA BLITAR
BL,BLITAR,BLITAR,KOTA BLITAR
NT,NGUNUT,NGUNUT,KABUPATEN TULUNGAGUNG
TA,TULUNGAGUNG,TULUNGAGUNG,KABUPATEN TULUNGAGUNG
NJG,NGUJANG,NGUJANG,KABUPATEN TULUNGAGUNG
KD,KEDIRI,KEDIRI,KOTA KEDIRI
SI,SUKABUMI,SUKABUMI,KOTA SUKABUMI
PSE,PASARSENEN,PASARSENEN,JAKARTA
JNG,JATINEGARA,JATINEGARA,JAKARTA
GM,GUMILIR,GUMILIR,KABUPATEN CILACAP
CP,CILACAP,CILACAP,KABUPATEN CILACAP
DMR,DOLOKMERANGIR,DOLOKMERANGIR,KABUPATEN SIMALUNGUN
LTD,LAUT TADOR,LAUT TADOR,KABUPATEN BATU BARA
PRA,PERLANAAN,PERLANAAN,KABUPATEN SIMALUNGUN
LMP,LIMAPULUH,LIMAPULUH,KABUPATEN SIMALUNGUN
SBJ,SEI BEJANGKAR,SEI BEJANGKAR,KABUPATEN BATU BARA
KIS,KISARAN,KISARAN,KABUPATEN ASAHAN
PUR,PULURAJA,PULURAJA,KABUPATEN ASAHAN
AKB,AEKLOBA,AEKLOBA,KABUPATEN ASAHAN
MBM,MAMBANGMUDA,MAMBANGMUDA,KABUPATEN LABUHAN BATU
PME,PAMINGKE,PAMINGKE,KABUPATEN LABUHANBATU UTARA
PHA,PADANGHALABAN,PADANGHALABAN,KABUPATEN LABUHAN BATU
MBU,MARBAU,MARBAU,KABUPATEN LABUHAN BATU
TNB,TANJUNGBALAI,TANJUNGBALAI,KOTA TANJUNG BALAI
TBI,TEBING TINGGI,TEBING TINGGI,KOTA TEBING TINGGI
RPH,RAMPAH,RAMPAH,KOTA TEBING TINGGI
PBA,PERBAUNGAN,PERBAUNGAN,KABUPATEN SERDANG BEDAGAI
LBP,LUBUKPAKAM,LUBUKPAKAM,KABUPATEN DELI SERDANG
ARB,ARASKABU,ARASKABU,KABUPATEN DELI SERDANG
BTK,BATANGKUIS,BATANGKUIS,KABUPATEN DELI SERDANG
